typo_word,correct_word,typo_type,mistake_position,edit_distance,word_length,typo_length,length_difference,same_first_letter,is_last_letter_error
hevlo,hello,replace_last_letter,last3,1,5,5,0,1,1
helo,hello,delete_last_letter,last3,1,5,4,1,1,1
heldo,hello,replace_last_letter,last2,1,5,5,0,1,1
hella,hello,replace_last_letter,last1,1,5,5,0,1,1
hell,hello,delete_last_letter,last1,1,5,4,1,1,1
helol,hello,swap_last_two_letters,last2,2,5,5,0,1,1
hellho,hello,insert_near_ending,last3,1,5,6,-1,1,1
helelo,hello,insert_near_ending,last3,1,5,6,-1,1,1
hello,hello,no_typo,none,0,5,5,0,1,0
woyld,world,replace_last_letter,last3,1,5,5,0,1,1
wold,world,delete_last_letter,last3,1,5,4,1,1,1
wordd,world,replace_last_letter,last2,1,5,5,0,1,1
word,world,delete_last_letter,last2,1,5,4,1,1,1
worlw,world,replace_last_letter,last1,1,5,5,0,1,1
worl,world,delete_last_letter,last1,1,5,4,1,1,1
wordl,world,swap_last_two_letters,last2,2,5,5,0,1,1
wosrld,world,insert_near_ending,last3,1,5,6,-1,1,1
worldb,world,insert_near_ending,last3,1,5,6,-1,1,1
world,world,no_typo,none,0,5,5,0,1,0
pytaon,python,replace_last_letter,last3,1,6,6,0,1,1
pyton,python,delete_last_letter,last3,1,6,5,1,1,1
pythcn,python,replace_last_letter,last2,1,6,6,0,1,1
pythn,python,delete_last_letter,last2,1,6,5,1,1,1
pythog,python,replace_last_letter,last1,1,6,6,0,1,1
pytho,python,delete_last_letter,last1,1,6,5,1,1,1
pythno,python,swap_last_two_letters,last2,2,6,6,0,1,1
pythqon,python,insert_near_ending,last3,1,6,7,-1,1,1
pytrhon,python,insert_near_ending,last3,1,6,7,-1,1,1
python,python,no_typo,none,0,6,6,0,1,0
machgne,machine,replace_last_letter,last3,1,7,7,0,1,1
machne,machine,delete_last_letter,last3,1,7,6,1,1,1
machixe,machine,replace_last_letter,last2,1,7,7,0,1,1
machie,machine,delete_last_letter,last2,1,7,6,1,1,1
machinv,machine,replace_last_letter,last1,1,7,7,0,1,1
machin,machine,delete_last_letter,last1,1,7,6,1,1,1
machien,machine,swap_last_two_letters,last2,2,7,7,0,1,1
machineh,machine,insert_near_ending,last3,1,7,8,-1,1,1
machines,machine,insert_near_ending,last3,1,7,8,-1,1,1
machine,machine,no_typo,none,0,7,7,0,1,0
learnjng,learning,replace_last_letter,last3,1,8,8,0,1,1
learnng,learning,delete_last_letter,last3,1,8,7,1,1,1
learniag,learning,replace_last_letter,last2,1,8,8,0,1,1
learnig,learning,delete_last_letter,last2,1,8,7,1,1,1
learninz,learning,replace_last_letter,last1,1,8,8,0,1,1
learnin,learning,delete_last_letter,last1,1,8,7,1,1,1
learnign,learning,swap_last_two_letters,last2,2,8,8,0,1,1
learniwng,learning,insert_near_ending,last3,1,8,9,-1,1,1
learningk,learning,insert_near_ending,last3,1,8,9,-1,1,1
learning,learning,no_typo,none,0,8,8,0,1,0
mojel,model,replace_last_letter,last3,1,5,5,0,1,1
moel,model,delete_last_letter,last3,1,5,4,1,1,1
modfl,model,replace_last_letter,last2,1,5,5,0,1,1
modl,model,delete_last_letter,last2,1,5,4,1,1,1
modeg,model,replace_last_letter,last1,1,5,5,0,1,1
mode,model,delete_last_letter,last1,1,5,4,1,1,1
modle,model,swap_last_two_letters,last2,2,5,5,0,1,1
modedl,model,insert_near_ending,last3,1,5,6,-1,1,1
momdel,model,insert_near_ending,last3,1,5,6,-1,1,1
model,model,no_typo,none,0,5,5,0,1,0
deta,data,replace_last_letter,last3,1,4,4,0,1,1
dta,data,delete_last_letter,last3,1,4,3,1,1,1
dala,data,replace_last_letter,last2,1,4,4,0,1,1
daa,data,delete_last_letter,last2,1,4,3,1,1,1
datm,data,replace_last_letter,last1,1,4,4,0,1,1
dat,data,delete_last_letter,last1,1,4,3,1,1,1
daat,data,swap_last_two_letters,last2,2,4,4,0,1,1
datza,data,insert_near_ending,last3,1,4,5,-1,1,1
dxata,data,insert_near_ending,last3,1,4,5,-1,1,1
data,data,no_typo,none,0,4,4,0,1,0
dataoet,dataset,replace_last_letter,last3,1,7,7,0,1,1
dataet,dataset,delete_last_letter,last3,1,7,6,1,1,1
datasst,dataset,replace_last_letter,last2,1,7,7,0,1,1
datast,dataset,delete_last_letter,last2,1,7,6,1,1,1
datased,dataset,replace_last_letter,last1,1,7,7,0,1,1
datase,dataset,delete_last_letter,last1,1,7,6,1,1,1
dataste,dataset,swap_last_two_letters,last2,2,7,7,0,1,1
datasetc,dataset,insert_near_ending,last3,1,7,8,-1,1,1
dataseut,dataset,insert_near_ending,last3,1,7,8,-1,1,1
dataset,dataset,no_typo,none,0,7,7,0,1,0
projuct,project,replace_last_letter,last3,1,7,7,0,1,1
projct,project,delete_last_letter,last3,1,7,6,1,1,1
projemt,project,replace_last_letter,last2,1,7,7,0,1,1
projet,project,delete_last_letter,last2,1,7,6,1,1,1
projecs,project,replace_last_letter,last1,1,7,7,0,1,1
projec,project,delete_last_letter,last1,1,7,6,1,1,1
